issue_id,severity,category,rule_id,tool,language,file,line,column,end_line,end_column,message,evidence,suggestion,confidence,target
f49051eeac374ec95d0a8c5f91bfe2df1a052727,BLOCKER,build,TS2551,tsc,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,165,43,,,Property 'jira_field_name' does not exist on type 'FieldMapping'. Did you mean 'field_name'?,parse/typecheck error,,HIGH,prod
2eaa407a757a1d70054620c35ae704d51436c4cb,BLOCKER,build,TS2339,tsc,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,168,36,,,Property 'jira_field_id' does not exist on type 'FieldMapping'.,parse/typecheck error,,HIGH,prod
1747b84cc49e668f372d01e51e5bbb2d318ac9eb,BLOCKER,build,TS2339,tsc,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,172,34,,,Property 'confidence' does not exist on type 'FieldMapping'.,parse/typecheck error,,HIGH,prod
ed5cd1e40d6fdcd4e9b99c7f2b7eb430d33673cd,BLOCKER,build,TS2339,tsc,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,174,58,,,Property 'confidence' does not exist on type 'FieldMapping'.,parse/typecheck error,,HIGH,prod
1621906cad83fc021cf7509684b3a9e19ad2948e,BLOCKER,build,TS2339,tsc,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,176,63,,,Property 'confidence' does not exist on type 'FieldMapping'.,parse/typecheck error,,HIGH,prod
290aefeab7fcbcf1d1a41f41741c4c5938587dc6,BLOCKER,build,TS2345,tsc,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,184,58,,,Argument of type 'number | undefined' is not assignable to parameter of type 'number'.,parse/typecheck error,,HIGH,prod
f79cd3018d7b7bcd75712924b651101b9942666f,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,24,11,,,'SaveIcon' is defined but never used.,eslint,,MEDIUM,prod
592332ce583fb1b564991e4a9f970101b5392b64,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/AdvancedFieldMapping.tsx,72,55,,,'_' is defined but never used.,eslint,,MEDIUM,prod
ddfe0e4910a20bb08a7ffe8f52817e8a7bb14c10,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,12,3,,,'IconButton' is defined but never used.,eslint,,MEDIUM,prod
98db9a672bfead753a744b11c5e48649b147de1d,MAJOR,maintainability,@typescript-eslint/no-explicit-any,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,176,79,,,Unexpected any. Specify a different type.,eslint,,MEDIUM,prod
709864744ef137af89d97a68dd6975b960c1fe18,MAJOR,maintainability,@typescript-eslint/no-explicit-any,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,26,13,,,Unexpected any. Specify a different type.,eslint,,MEDIUM,prod
3be0080c8e89aded436091f5f427cec95c4900d4,MAJOR,maintainability,@typescript-eslint/no-explicit-any,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,87,66,,,Unexpected any. Specify a different type.,eslint,,MEDIUM,prod
6bc1f62f31fd9749b99ab30439229c154e870af0,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,20,15,,,'type' is assigned a value but never used.,eslint,,MEDIUM,prod
4634b8a0617ce482f0996e846a0b42e45bbc97f7,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,30,76,,,'EventListener' is not defined.,eslint,,MEDIUM,prod
0aa96ccba7071738c1aec4fbab5e529cd9fd4de3,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,31,68,,,'EventListener' is not defined.,eslint,,MEDIUM,prod
00a2f3f15b46c467a748a7fc6ec5f802aabb91e2,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,39,81,,,'EventListener' is not defined.,eslint,,MEDIUM,prod
b711134c51709ac419f29fc6abb93cd0b326dc49,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,40,73,,,'EventListener' is not defined.,eslint,,MEDIUM,prod
8f5d3710b10217dbae28a3ff424a8c4e6ff4a375,BLOCKER,build,TS2322,tsc,TypeScript,frontend/src/components/EmptyState.test.tsx,109,9,,,Type '{ icon: Element; title: string; description: string; docsUrl: string; }' is not assignable to type 'IntrinsicAttributes & EmptyStateProps'.,parse/typecheck error,,HIGH,test
c7060aae7094326cd8e4b8d0734d8560d99fa3e3,BLOCKER,build,TS2322,tsc,TypeScript,frontend/src/components/EmptyState.test.tsx,192,9,,,"Type '{ icon: Element; title: string; description: string; primaryAction: { label: string; onClick: Mock<Procedure>; variant: ""contained""; }; secondaryAction: { label: string; onClick: Mock<...>; variant: ""outlined""; }; benefits: string[]; docsUrl: string; }' is not assignable to type 'IntrinsicAttributes & EmptyStateProps'.",parse/typecheck error,,HIGH,test
c03eb935c7f66d310f0591743860548b15811a9d,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/EmptyState.test.tsx,27,13,,,'container' is assigned a value but never used.,eslint,,MEDIUM,test
ca35f3e55a15cf9073c11c0acb488c99555c695e,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/EmptyState.test.tsx,8,38,,,'React' is not defined.,eslint,,MEDIUM,test
287605b380e0c949689cce7ef1ee57aa611e2697,MAJOR,maintainability,react/no-unescaped-entities,eslint,TypeScript,frontend/src/components/EmptyState.tsx,115,21,,,"`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",eslint,,MEDIUM,prod
b9eb9cc8fd80f70822bca99384a31f19f552bd8d,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/HelpPanel.tsx,13,3,,,'Link' is defined but never used.,eslint,,MEDIUM,prod
ce21d2553ebb7b8eac77f23a0ec9288e75f7ba2f,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/HelpTooltip.test.tsx,60,13,,,'container' is assigned a value but never used.,eslint,,MEDIUM,test
