caller_method_id,callee_method_id,callee_symbol,is_internal,edge_kind,confidence,resolution_reason,callsite_file,callsite_line
5d9ebbb03ec2f51f41d5f5d3cd8656e7f4d5d0fd,,config.get_main_option,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,28
5d9ebbb03ec2f51f41d5f5d3cd8656e7f4d5d0fd,,context.configure,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,29
5d9ebbb03ec2f51f41d5f5d3cd8656e7f4d5d0fd,,context.begin_transaction,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,36
5d9ebbb03ec2f51f41d5f5d3cd8656e7f4d5d0fd,,context.run_migrations,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,37
16fac64c18a9898e453566b8d630d4a046e11f9d,,context.configure,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,41
16fac64c18a9898e453566b8d630d4a046e11f9d,,context.begin_transaction,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,43
16fac64c18a9898e453566b8d630d4a046e11f9d,,context.run_migrations,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,44
bf661f3485b8a7ed9ec7abb5d3eb873eaeeca813,,async_engine_from_config,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,49
bf661f3485b8a7ed9ec7abb5d3eb873eaeeca813,,config.get_section,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,50
bf661f3485b8a7ed9ec7abb5d3eb873eaeeca813,,connectable.connect,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,55
bf661f3485b8a7ed9ec7abb5d3eb873eaeeca813,,connection.run_sync,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,56
bf661f3485b8a7ed9ec7abb5d3eb873eaeeca813,,connectable.dispose,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,58
36cd1495347e9b4de307962f9a7e06db4cebfa17,,asyncio.run,False,external,MEDIUM,ambiguous_or_external,backend/alembic/env.py,63
36cd1495347e9b4de307962f9a7e06db4cebfa17,bf661f3485b8a7ed9ec7abb5d3eb873eaeeca813,,True,static,MEDIUM,unique_name_match,backend/alembic/env.py,63
d8057ce263c1fbcefef308bd59b1a0100dc9877e,,op.get_bind,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,21
d8057ce263c1fbcefef308bd59b1a0100dc9877e,,sa.inspect,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,22
d8057ce263c1fbcefef308bd59b1a0100dc9877e,,inspector.get_table_names,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,23
bcaf47231ce159e9d4ff4cde8c8810c05eef5795,,op.get_bind,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,28
bcaf47231ce159e9d4ff4cde8c8810c05eef5795,,sa.inspect,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,29
bcaf47231ce159e9d4ff4cde8c8810c05eef5795,,_table_exists,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,32
bcaf47231ce159e9d4ff4cde8c8810c05eef5795,,inspector.get_columns,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,35
bcaf47231ce159e9d4ff4cde8c8810c05eef5795,,op.batch_alter_table,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,39
bcaf47231ce159e9d4ff4cde8c8810c05eef5795,,batch_op.add_column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,41
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,_ensure_columns,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,46
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,49
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Float,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,49
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,50
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Integer,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,50
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,_ensure_columns,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,55
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,58
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Float,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,58
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,59
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Boolean,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,59
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,60
ea01aa7cc163d6ba5226508de6c7bd2b77719234,,sa.Float,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,60
82fde6b9da18a13e478cb1fc921f1694665d2492,,_table_exists,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,66
82fde6b9da18a13e478cb1fc921f1694665d2492,,op.batch_alter_table,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,67
82fde6b9da18a13e478cb1fc921f1694665d2492,,batch_op.drop_column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,68
82fde6b9da18a13e478cb1fc921f1694665d2492,,batch_op.drop_column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,69
82fde6b9da18a13e478cb1fc921f1694665d2492,,batch_op.drop_column,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,70
82fde6b9da18a13e478cb1fc921f1694665d2492,,_table_exists,False,external,MEDIUM,ambiguous_or_external,backend/alembic/versions/0001_iter1_extensions.py,72
