issue_id,severity,category,rule_id,tool,language,file,line,column,end_line,end_column,message,evidence,suggestion,confidence,target
4d913e38e700b0b76fdb4468d3259beb2989cf30,MAJOR,maintainability,react-hooks/set-state-in-effect,eslint,TypeScript,frontend/src/App.tsx,90,9,90,26,"Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

/Users/kkitanin/Documents/MyApps/po_copilot/po_helper/frontend/src/App.tsx:90:9
  88 |       const onboardingCompleted = localStorage.getItem('onboarding_completed');
  89 |       if (!onboardingCompleted) {
> 90 |         setShowOnboarding(true);
     |         ^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  91 |       }
  92 |     }
  93 |   }, [isAuthenticated]);",,,HIGH,prod
3eba337dd49145b6187c12a16a44168929c055d4,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,12,3,12,13,'IconButton' is defined but never used.,,,HIGH,prod
2125b8311c86a6fe8c482f790b4c3b9fd2ecbd37,MAJOR,maintainability,@typescript-eslint/no-explicit-any,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,26,13,26,16,Unexpected any. Specify a different type.,,,HIGH,prod
47bd5a365c1452c86060d58535efce3a18f313a6,MAJOR,maintainability,@typescript-eslint/no-explicit-any,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,87,66,87,69,Unexpected any. Specify a different type.,,,HIGH,prod
de3f036eaf0d408ce26d24244107478dcda0f9b0,MAJOR,maintainability,@typescript-eslint/no-explicit-any,eslint,TypeScript,frontend/src/components/AnalyticsFilters.tsx,176,79,176,82,Unexpected any. Specify a different type.,,,HIGH,prod
0ff57eb4e99cebe62596a3d4d5755a64735b517a,MAJOR,maintainability,@typescript-eslint/no-unused-vars,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,20,15,20,19,'type' is assigned a value but never used.,,,HIGH,prod
ac157c7c6b477790205e49e91fe562cfee8f7075,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,30,76,30,89,'EventListener' is not defined.,,,HIGH,prod
4afb89ea946c09e1991c8b48fe951d0f51e110a6,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,31,68,31,81,'EventListener' is not defined.,,,HIGH,prod
a27ecede9ae23aececd9682080e2627fd660e04d,MAJOR,maintainability,react-hooks/set-state-in-effect,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,35,5,35,14,"Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

/Users/kkitanin/Documents/MyApps/po_copilot/po_helper/frontend/src/components/BackendStatusAlert.tsx:35:5
  33 |     // Check initial status
  34 |     const initialStatus = backendHealthMonitor.getStatus();
> 35 |     setStatus(initialStatus);
     |     ^^^^^^^^^ Avoid calling setState() directly within an effect
  36 |     setShowAlert(!initialStatus.isHealthy);
  37 |
  38 |     return () => {",,,HIGH,prod
3f4bff82739903e7621c95db104803a81286a60e,MAJOR,maintainability,no-undef,eslint,TypeScript,frontend/src/components/BackendStatusAlert.tsx,39,81,39,94,'EventListener' is not defined.,,,HIGH,prod
